Codice,Descrizione
33.12.70,Riparazione e manutenzione di altre macchine per l'agricoltura e la silvicoltura
33.12.91,Affilatura di lame e seghe per macchinari
33.12.92,"Riparazione e manutenzione di giostre, altalene e altre attrazioni di divertimento"
33.12.99,Riparazione e manutenzione di altre macchine per impieghi speciali n.c.a.
33.13.01,"Riparazione e manutenzione di apparecchiature per irradiazione, elettromedicali ed elettroterapeutiche"
33.13.02,Riparazione e manutenzione di strumenti e apparecchiature ottiche
33.13.09,Riparazione e manutenzione di altre apparecchiature elettroniche e ottiche
33.14.00,Riparazione e manutenzione di apparecchiature elettriche
33.15.00,Riparazione e manutenzione di navi e imbarcazioni per scopi civili
33.16.00,Riparazione e manutenzione di aeromobili e veicoli spaziali per scopi civili
33.17.00,Riparazione e manutenzione di altri mezzi di trasporto per scopi civili
33.18.10,Riparazione e manutenzione di veicoli da combattimento per scopi militari
33.18.20,Riparazione e manutenzione di navi e imbarcazioni per scopi militari
33.18.30,Riparazione e manutenzione di aeromobili e veicoli spaziali per scopi militari
33.19.00,Riparazione e manutenzione di altre apparecchiature
33.20.01,"Installazione di motori, generatori e trasformatori elettrici e di apparecchiature per la distribuzione e il"
33.20.02,Installazione di apparecchiature per le comunicazioni e di apparecchiature radiotelevisive
33.20.03,Installazione di strumenti e apparecchi di misurazione e controllo
33.20.04,"Installazione di cisterne, serbatoi e contenitori in metallo"
33.20.05,Installazione di generatori di vapore
33.20.06,Installazione di macchinari e attrezzature per ufficio
33.20.07,Installazione di strumenti e apparecchiature mediche e dentistiche
33.20.09,Installazione di altre macchine e apparecchiature industriali
35.11.00,Produzione di energia elettrica da fonti non rinnovabili
35.12.00,Produzione di energia elettrica da fonti rinnovabili
35.13.00,Trasmissione di energia elettrica
35.14.00,Distribuzione di energia elettrica
35.15.00,Commercio di energia elettrica
35.16.00,Stoccaggio di energia elettrica
35.21.00,Produzione di gas
35.22.00,Distribuzione di combustibili gassosi mediante condotte
35.23.00,Commercio di gas distribuito mediante condotte
35.24.00,Stoccaggio di gas nell'ambito dei servizi di fornitura della rete
35.30.00,Fornitura di vapore e aria condizionata
35.40.00,Attività di servizi di intermediazione per l'energia elettrica e il gas naturale
36.00.00,"Raccolta, trattamento e fornitura di acqua"
37.00.00,Gestione delle reti fognarie
38.11.00,Raccolta di rifiuti non pericolosi
38.12.00,Raccolta di rifiuti pericolosi
38.21.11,Smantellamento di carcasse di navi per il recupero dei materiali
38.21.12,Smantellamento di altre carcasse
38.21.20,Recupero dei materiali da rifiuti metallici
38.21.30,Recupero dei materiali da rifiuti plastici
38.21.40,Recupero dei materiali da altri rifiuti
38.22.00,Recupero di energia
38.23.00,Altre attività di recupero dei rifiuti
38.31.00,Incenerimento senza recupero di energia
38.32.00,Conferimento in discarica o stoccaggio permanente
38.33.00,Altre attività di smaltimento dei rifiuti
39.00.01,"Attività di rimozione di amianto, vernici a base di piombo e altri materiali tossici"
39.00.09,Attività di risanamento e altri servizi di gestione dei rifiuti n.c.a.
41.00.00,Costruzione di edifici residenziali e non residenziali
42.11.00,Costruzione di strade e autostrade
42.12.00,Costruzione di linee ferroviarie e metropolitane
42.13.00,Costruzione di ponti e gallerie
42.21.00,Costruzione di opere di pubblica utilità per il trasporto dei fluidi
42.22.00,Costruzione di opere di pubblica utilità per l'energia elettrica e le telecomunicazioni
42.91.00,Costruzione di opere idrauliche
42.99.00,Costruzione di altre opere di ingegneria civile n.c.a.
43.11.00,Demolizione
43.12.01,Preparazione del sito per scavi archeologici
43.12.09,Altre attività di preparazione del cantiere edile
43.13.00,Trivellazioni e perforazioni
43.21.01,Installazione di impianti di illuminazione e fotovoltaici in edifici
43.21.02,Installazione di cablaggi per telecomunicazioni e altre reti
43.21.03,Installazione di impianti di illuminazione stradale e di piste aeroportuali
43.21.04,Installazione di insegne elettriche e luminarie per feste
43.21.05,Installazione di impianti di illuminazione elettrica votiva e cimiteriale
43.22.01,Installazione di impianti geotermici
43.22.02,Installazione di impianti di depurazione per piscine
43.22.03,Installazione di impianti di spegnimento di incendi
43.22.04,Installazione di impianti di irrigazione per giardini
43.22.05,Installazione di altri impianti termo-idraulici
43.22.06,Installazione di impianti per la distribuzione del gas
43.22.07,Installazione di impianti di riscaldamento e di condizionamento dell'aria
43.23.00,Installazione di sistemi per l'isolamento
43.24.01,Installazione di ascensori e scale mobili
43.24.02,Installazione di insegne non elettriche
43.24.09,Altri lavori di installazione edili n.c.a.
43.31.01,Posa in opera di cartongesso
43.31.02,Altri lavori di intonacatura
43.32.01,Posa in opera di porte blindate
43.32.02,"Posa in opera di porte non blindate, finestre, arredi, controsoffitti, pareti mobili e simili"
43.33.00,Rivestimento di pavimenti e di pareti
43.34.01,Tinteggiatura
43.34.02,Posa in opera di vetri
43.35.00,Altri lavori di completamento e finitura degli edifici
43.41.00,Realizzazione di coperture
43.42.00,Altri lavori di costruzione specializzati nella costruzione di edifici
43.50.00,Lavori di costruzione specializzati nell'ingegneria civile
43.60.00,Attività di servizi di intermediazione per servizi di costruzione specializzati
43.91.00,Lavori di muratura
43.99.01,Noleggio di gru e altre attrezzature edili con operatore
43.99.02,Interventi su siti ed edifici storici e archeologici
43.99.09,Altri lavori vari di costruzione specializzati n.c.a.
46.11.01,Attività di intermediari del commercio all'ingrosso di materie prime agricole
46.11.02,Attività di intermediari del commercio all'ingrosso di fiori e piante
46.11.03,Attività di intermediari del commercio all'ingrosso di animali vivi
46.11.04,Attività di intermediari del commercio all'ingrosso di materie prime tessili e semilavorati
46.12.01,Attività di intermediari del commercio all'ingrosso di combustibili liquidi e gassosi
46.12.02,Attività di intermediari del commercio all'ingrosso di combustibili solidi
46.12.03,Attività di intermediari del commercio all'ingrosso di minerali e metalli
46.12.04,Attività di intermediari del commercio all'ingrosso di fertilizzanti e altri prodotti chimici per l'agricoltura
46.12.05,Attività di intermediari del commercio all'ingrosso di prodotti chimici per l'industria
46.13.01,Attività di intermediari del commercio all'ingrosso di legname
46.13.02,"Attività di intermediari del commercio all'ingrosso di pitture, vernici e lacche"
46.13.03,Attività di intermediari del commercio all'ingrosso di altri materiali da costruzione
46.14.01,Attività di intermediari del commercio all'ingrosso di macchine e attrezzature per l'industria e il commercio
46.14.02,Attività di intermediari del commercio all'ingrosso di macchine e attrezzature per l'edilizia
46.14.03,"Attività di intermediari del commercio all'ingrosso di macchine per ufficio, computer e apparecchiature per"
46.14.04,Attività di intermediari del commercio all'ingrosso di attrezzature agricole
46.14.05,Attività di intermediari del commercio all'ingrosso di navi e aeromobili
46.15.01,"Attività di intermediari del commercio all'ingrosso di mobili in legno, metallo e materie plastiche"
46.15.02,Attività di intermediari del commercio all'ingrosso di altri mobili e oggetti di arredamento per la casa
46.15.03,"Attività di intermediari del commercio all'ingrosso di apparecchiature di riscaldamento, ventilazione e"
46.15.04,Attività di intermediari del commercio all'ingrosso di altri articoli per la casa
46.15.05,Attività di intermediari del commercio all'ingrosso di ferramenta
46.16.01,Attività di intermediari del commercio all'ingrosso di tessuti per l'abbigliamento e l'arredamento
46.16.02,Attività di intermediari del commercio all'ingrosso di prodotti tessili per la casa e tappeti
46.16.03,"Attività di intermediari del commercio all'ingrosso di camicie, biancheria intima e articoli simili"
46.16.04,Attività di intermediari del commercio all'ingrosso di altri articoli di abbigliamento e accessori per
46.16.05,Attività di intermediari del commercio all'ingrosso di pellicce
46.16.06,Attività di intermediari del commercio all'ingrosso di calzature
46.16.07,Attività di intermediari del commercio all'ingrosso di articoli in pelle e articoli da viaggio
46.17.01,Attività di intermediari del commercio all'ingrosso di frutta e ortaggi
46.17.02,Attività di intermediari del commercio all'ingrosso di carne e prodotti a base di carne
46.17.03,Attività di intermediari del commercio all'ingrosso di pesce e prodotti a base di pesce
46.17.04,Attività di intermediari del commercio all'ingrosso di latte e prodotti lattiero-caseari
46.17.05,Attività di intermediari del commercio all'ingrosso di oli e grassi alimentari
46.17.06,Attività di intermediari del commercio all'ingrosso di bevande
46.17.07,Attività di intermediari del commercio all'ingrosso di altri prodotti alimentari e tabacchi
46.18.11,Attività di intermediari del commercio all'ingrosso di prodotti farmaceutici
46.18.12,Attività di intermediari del commercio all'ingrosso di articoli medicali
46.18.13,Attività di intermediari del commercio all'ingrosso di profumi e articoli di profumeria
46.18.14,Attività di intermediari del commercio all'ingrosso di prodotti per la pulizia
46.18.21,Attività di intermediari del commercio all'ingrosso di giochi e giocattoli
46.18.22,Attività di intermediari del commercio all'ingrosso di biciclette
46.18.23,Attività di intermediari del commercio all'ingrosso di altre attrezzature sportive
46.18.24,Attività di intermediari del commercio all'ingrosso di orologi e gioielli
46.18.25,Attività di intermediari del commercio all'ingrosso di oggetti di bigiotteria
46.18.26,Attività di intermediari del commercio all'ingrosso di apparecchiature fotografiche e strumenti ottici
46.18.31,Attività di intermediari del commercio all'ingrosso di libri
46.18.32,Attività di intermediari del commercio all'ingrosso di giornali e riviste
46.18.33,Attività di intermediari del commercio all'ingrosso di articoli di cancelleria
46.18.41,Attività di intermediari del commercio all'ingrosso di automobili e autoveicoli leggeri
46.18.42,Attività di intermediari del commercio all'ingrosso di altri autoveicoli
46.18.43,Attività di intermediari del commercio all'ingrosso di parti e accessori di autoveicoli
46.18.44,Attività di intermediari del commercio all'ingrosso di motocicli
46.18.45,Attività di intermediari del commercio all'ingrosso di parti e accessori di motocicli
46.18.46,Attività di intermediari del commercio all'ingrosso di materiale rotabile e di parti e accessori per materiale
46.18.50,Attività di intermediari del commercio all'ingrosso di apparecchiature audio e video
46.18.91,Attività di intermediari del commercio all'ingrosso di rifiuti
46.18.92,Attività di intermediari del commercio all'ingrosso di rivestimenti per pareti e per pavimenti
46.18.93,Attività di intermediari del commercio all'ingrosso di strumenti musicali
46.18.99,Attività di intermediari del commercio all'ingrosso di altri prodotti specifici vari n.c.a.
46.19.00,Attività di intermediari del commercio all'ingrosso non specializzato
46.21.10,Commercio all'ingrosso di cereali
46.21.21,Commercio all'ingrosso di tabacco grezzo
46.21.22,Commercio all'ingrosso di sementi e alimenti per il bestiame
46.22.00,Commercio all'ingrosso di fiori e piante
46.23.00,Commercio all'ingrosso di animali vivi
46.24.01,Commercio all'ingrosso di pelli per pellicceria
46.24.02,Commercio all'ingrosso di pelli non per pellicceria e cuoio
46.31.10,Commercio all'ingrosso di frutta e ortaggi freschi
46.31.20,Commercio all'ingrosso di frutta e ortaggi conservati o surgelati
46.32.11,Commercio all'ingrosso di carni fresche
46.32.12,Commercio all'ingrosso di carni conservate o surgelate
46.32.20,Commercio all'ingrosso di salumi e di altri prodotti a base di carne
46.32.31,Commercio all'ingrosso di pesci freschi
46.32.32,Commercio all'ingrosso di pesci conservati o surgelati e di prodotti a base di pesce
46.33.10,Commercio all'ingrosso di prodotti lattiero-caseari e uova
46.33.20,Commercio all'ingrosso di oli e grassi alimentari
46.34.10,Commercio all'ingrosso di bevande alcoliche
46.34.20,Commercio all'ingrosso di bevande analcoliche
46.35.01,Commercio all'ingrosso di sigarette elettroniche
46.35.09,Commercio all'ingrosso di prodotti del tabacco n.c.a.
46.36.00,"Commercio all'ingrosso di zucchero, cioccolato e dolciumi"
46.37.01,Commercio all'ingrosso di caffè
46.37.02,"Commercio all'ingrosso di tè, cacao e spezie"
46.38.00,Commercio all'ingrosso di altri prodotti alimentari
46.39.00,"Commercio all'ingrosso non specializzato di prodotti alimentari, bevande e tabacchi"
46.41.10,Commercio all'ingrosso di tessuti
46.41.20,Commercio all'ingrosso di filati e articoli di merceria
46.41.90,Commercio all'ingrosso di altri prodotti tessili
46.42.10,Commercio all'ingrosso di abbigliamento e di accessori per l'abbigliamento
46.42.20,Commercio all'ingrosso di articoli in pelliccia
46.42.30,Commercio all'ingrosso di calzature
46.43.10,Commercio all'ingrosso di articoli per fotografia e ottica
46.43.20,Commercio all'ingrosso di apparecchiature radiotelevisive
46.43.30,Commercio all'ingrosso di altri elettrodomestici
46.44.10,Commercio all'ingrosso di articoli di porcellana
46.44.20,Commercio all'ingrosso di articoli di vetro
46.44.30,"Commercio all'ingrosso di altri utensili per la casa, stoviglie e vasellame"
46.44.40,Commercio all'ingrosso di prodotti per la pulizia
46.45.00,Commercio all'ingrosso di profumi e cosmetici
46.46.10,Commercio all'ingrosso di prodotti farmaceutici di base e di preparati farmaceutici
46.46.20,Commercio all'ingrosso di rimedi erboristici
46.46.31,Commercio all'ingrosso di occhiali e lenti
46.46.39,Commercio all'ingrosso di prodotti medicali e ortopedici n.c.a.
46.47.10,"Commercio all'ingrosso di mobili per la casa, l'ufficio e i negozi"
46.47.20,"Commercio all'ingrosso di tappeti per la casa, l'ufficio e i negozi"
46.47.30,"Commercio all'ingrosso di articoli per l'illuminazione per la casa, l'ufficio e i negozi"
46.48.00,Commercio all'ingrosso di orologi e di gioielleria
46.49.10,"Commercio all'ingrosso di carta, cartone e articoli di cartoleria"
46.49.21,Commercio all'ingrosso di libri
46.49.22,Commercio all'ingrosso di riviste e giornali
46.49.30,"Commercio all'ingrosso di giochi, giocattoli e attrezzature per bambini"
46.49.41,Commercio all'ingrosso di biciclette
46.49.49,Commercio all'ingrosso di altre attrezzature e articoli sportivi
46.49.50,Commercio all'ingrosso di articoli in pelle e articoli da viaggio
46.49.91,Commercio all'ingrosso di articoli promozionali
46.49.92,Commercio all'ingrosso di bomboniere
46.49.99,Commercio all'ingrosso di altri beni di consumo vari n.c.a.
46.50.10,"Commercio all'ingrosso di computer, unità periferiche e software"
46.50.20,Commercio all'ingrosso di apparecchiature per telecomunicazioni
46.50.30,Commercio all'ingrosso di altre macchine e attrezzature per ufficio
46.61.00,"Commercio all'ingrosso di macchinari, attrezzature e forniture agricole"
46.62.00,Commercio all'ingrosso di macchine utensili
46.63.00,"Commercio all'ingrosso di macchinari per l'estrazione, l'edilizia e l'ingegneria civile"
46.64.11,Commercio all'ingrosso di navi e imbarcazioni
46.64.19,Commercio all'ingrosso di altri mezzi di trasporto
46.64.20,Commercio all'ingrosso di materiale elettrico per impianti industriali
46.64.30,"Commercio all'ingrosso di attrezzature per parrucchieri, palestre, solarium e centri estetici"
46.64.40,"Commercio all'ingrosso di macchine tessili, per la lavorazione delle pelli e del cuoio, per lavanderie e stirerie"
46.64.51,Commercio all'ingrosso di macchine e attrezzature per ristoranti e bar
46.64.59,Commercio all'ingrosso di altri macchinari per l'industria alimentare e delle bevande
46.64.60,Commercio all'ingrosso di macchinari e attrezzature per la pulizia
46.64.91,Commercio all'ingrosso di strumenti e apparecchiature di misurazione
46.64.92,Commercio all'ingrosso di attrazioni per parchi divertimento e parchi tematici e videogiochi
46.64.99,Commercio all'ingrosso di altri macchinari e attrezzature varie n.c.a.
46.71.10,Commercio all'ingrosso di automobili e autoveicoli leggeri
46.71.20,Commercio all'ingrosso di altri autoveicoli
46.72.00,Commercio all'ingrosso di parti e accessori di autoveicoli
46.73.10,Commercio all'ingrosso di motocicli
46.73.20,Commercio all'ingrosso di parti e accessori di motocicli
46.81.00,"Commercio all'ingrosso di combustibili solidi, liquidi, gassosi e di prodotti derivati"
46.82.10,Commercio all'ingrosso di metalli e minerali metalliferi ferrosi
46.82.21,Attività di compro oro
46.82.29,Commercio all'ingrosso di altri metalli e minerali metalliferi non ferrosi
46.83.10,Commercio all'ingrosso di legname
46.83.21,"Commercio all'ingrosso di pitture, vernici e lacche"
46.83.22,Commercio all'ingrosso di carta da parati e rivestimenti per pavimenti
46.83.23,"Commercio all'ingrosso di porte, finestre e persiane"
46.83.29,Commercio all'ingrosso di altri materiali da costruzione
46.83.30,Commercio all'ingrosso di articoli igienico-sanitari
46.84.10,Commercio all'ingrosso di ferramenta
46.84.20,Commercio all'ingrosso di apparecchi e accessori per impianti idraulici e di riscaldamento
46.85.01,Commercio all'ingrosso di fertilizzanti e altri prodotti chimici per l'agricoltura
46.85.02,Commercio all'ingrosso di liquidi per inalazione per sigarette elettroniche
46.85.09,Commercio all'ingrosso di altri prodotti chimici
46.86.10,Commercio all'ingrosso di materie plastiche in forme primarie e gomma
46.86.20,Commercio all'ingrosso di fibre tessili
46.86.30,Commercio all'ingrosso di articoli per imballaggio
46.86.90,Commercio all'ingrosso di altri prodotti intermedi n.c.a.
46.87.10,Commercio all'ingrosso di rottami e cascami metallici
46.87.90,Commercio all'ingrosso di altri rottami e cascami
46.89.00,Commercio all'ingrosso specializzato di altri prodotti n.c.a.
46.90.00,Commercio all'ingrosso non specializzato
47.11.01,Commercio al dettaglio non specializzato con prevalenza di prodotti alimentari surgelati
47.11.02,"Commercio al dettaglio non specializzato con prevalenza di altri prodotti alimentari, bevande o tabacchi"
47.12.10,Commercio al dettaglio non specializzato con prevalenza di apparecchiature informatiche ed elettrodomestici
47.12.20,Commercio al dettaglio non specializzato con prevalenza di mobili e articoli per uso domestico
47.12.30,"Commercio al dettaglio non specializzato con prevalenza di ferramenta, materiali da costruzione e piante"
47.12.40,"Commercio al dettaglio non specializzato con prevalenza di cosmetici, articoli di profumeria e detersivi,"
47.12.50,Commercio al dettaglio non specializzato con prevalenza di articoli di abbigliamento e calzature
47.12.90,Commercio al dettaglio non specializzato di altri prodotti n.c.a.
47.21.01,Commercio al dettaglio di frutta e verdura fresca
47.21.02,Commercio al dettaglio di frutta e verdura secca e conservata
47.22.00,Commercio al dettaglio di carne e di prodotti a base di carne
47.23.00,"Commercio al dettaglio di pesce, crostacei e molluschi"
47.24.10,Commercio al dettaglio di pane
47.24.20,Commercio al dettaglio di pasticceria e dolciumi
47.25.00,Commercio al dettaglio di bevande
47.26.01,Commercio al dettaglio di tabacco in qualsiasi forma
47.26.02,Commercio al dettaglio di sigarette elettroniche e di liquidi per inalazione per sigarette elettroniche
47.26.09,Commercio al dettaglio di altri accessori per fumatori
47.27.10,Commercio al dettaglio di latte e prodotti lattiero-caseari
47.27.20,Commercio al dettaglio di caffè
47.27.30,Commercio al dettaglio di integratori alimentari e prodotti dietetici
47.27.90,Commercio al dettaglio di altri prodotti alimentari n.c.a.
47.30.00,Commercio al dettaglio di carburanti per autotrazione
47.40.10,"Commercio al dettaglio di computer, unità periferiche e software"
47.40.20,Commercio al dettaglio di apparecchiature per telecomunicazioni
47.40.30,Commercio al dettaglio di apparecchiature radiotelevisive
47.51.10,Commercio al dettaglio di tessuti per abbigliamento e arredamento
47.51.20,Commercio al dettaglio di filati per maglieria e merceria
47.52.10,"Commercio al dettaglio di ferramenta, vernici, vetro e materiale elettrico e termoidraulico"
47.52.20,Commercio al dettaglio di articoli igienico-sanitari e per riscaldamento
47.52.31,Commercio al dettaglio di porte e finestre
47.52.32,"Commercio al dettaglio di altri materiali da costruzione, mattoni e piastrelle n.c.a."
47.52.40,Commercio al dettaglio di attrezzature per il giardinaggio e la paesaggistica
47.53.11,Commercio al dettaglio di tappeti e moquette
47.53.12,Commercio al dettaglio di tende
47.53.20,Commercio al dettaglio di rivestimenti per pareti e pavimenti
47.54.00,Commercio al dettaglio di elettrodomestici
47.55.10,Commercio al dettaglio di mobili per la casa
47.55.20,Commercio al dettaglio di altri mobili
47.55.30,Commercio al dettaglio di articoli per l'illuminazione
47.55.40,Commercio al dettaglio di articoli per la tavola e la cucina
47.55.90,Commercio al dettaglio di attrezzature per bambini e altri articoli per la casa
47.61.00,Commercio al dettaglio di libri
47.62.10,Commercio al dettaglio di giornali e altre pubblicazioni periodiche
47.62.20,Commercio al dettaglio di articoli di cancelleria
47.63.10,Commercio al dettaglio di imbarcazioni
47.63.21,Commercio al dettaglio di biciclette
47.63.29,Commercio al dettaglio di altre attrezzature sportive
47.64.00,Commercio al dettaglio di giochi e giocattoli
47.69.11,Commercio al dettaglio di supporti registrati
47.69.12,Commercio al dettaglio di strumenti musicali
47.69.20,"Commercio al dettaglio di articoli di filatelia, numismatica e da collezionismo"
47.69.30,"Commercio al dettaglio di articoli per disegno, pittura e scultura"
47.69.91,Commercio al dettaglio di opere d'arte
47.69.99,Commercio al dettaglio di altri articoli vari culturali e ricreativi n.c.a.
47.71.10,Commercio al dettaglio di articoli di abbigliamento per adulti
47.71.20,Commercio al dettaglio di articoli di abbigliamento per neonati e bambini
47.71.30,Commercio al dettaglio di articoli di biancheria intima
47.71.40,Commercio al dettaglio di articoli di abbigliamento in pelle e pelliccia
47.71.50,Commercio al dettaglio di accessori per l'abbigliamento
47.72.11,Commercio al dettaglio di calzature e accessori per calzature per adulti
47.72.12,Commercio al dettaglio di calzature e accessori per calzature per neonati e bambini
47.72.20,Commercio al dettaglio di articoli in pelle e articoli da viaggio
47.73.10,Commercio al dettaglio di medicinali soggetti a prescrizione medica
47.73.20,Commercio al dettaglio di rimedi erboristici
47.73.90,Commercio al dettaglio di altri prodotti farmaceutici
47.74.01,Commercio al dettaglio di occhiali e lenti
47.74.09,Commercio al dettaglio di altri articoli medicali e ortopedici
47.75.00,Commercio al dettaglio di cosmetici e di articoli di profumeria
47.76.10,"Commercio al dettaglio di fiori, piante e fertilizzanti"
47.76.20,Commercio al dettaglio di animali da compagnia e alimenti per animali da compagnia
47.77.00,Commercio al dettaglio di orologi e articoli di gioielleria
47.78.10,Commercio al dettaglio di articoli per fotografia e ottica
47.78.21,Commercio al dettaglio di souvenir
47.78.22,Commercio al dettaglio di articoli di artigianato
47.78.23,Commercio al dettaglio di articoli religiosi
47.78.24,Commercio al dettaglio di bigiotteria
47.78.25,Commercio al dettaglio di bomboniere
47.78.30,"Commercio al dettaglio di combustibile per uso domestico, bombole di gas, carbone e legna da ardere"
47.78.40,Commercio al dettaglio di prodotti per la pulizia
47.78.91,Commercio al dettaglio di articoli per imballaggio
47.78.92,Commercio al dettaglio di articoli funerari e cimiteriali
47.78.93,Commercio al dettaglio di articoli per adulti
47.78.99,Commercio al dettaglio di altri prodotti vari non di seconda mano n.c.a.
47.79.10,Commercio al dettaglio di libri di seconda mano
47.79.20,Commercio al dettaglio di oggetti di antiquariato e mobili di seconda mano
47.79.31,Commercio al dettaglio di articoli di abbigliamento di seconda mano
47.79.32,Commercio al dettaglio di orologi e articoli di gioielleria di seconda mano
47.79.39,Commercio al dettaglio di altri articoli di seconda mano n.c.a.
47.81.10,Commercio al dettaglio di automobili e autoveicoli leggeri
47.81.20,Commercio al dettaglio di altri autoveicoli
47.82.00,Commercio al dettaglio di parti e accessori di autoveicoli
47.83.10,Commercio al dettaglio di motocicli
47.83.20,Commercio al dettaglio di parti e accessori di motocicli
47.91.10,Attività di servizi di intermediazione per il commercio al dettaglio non specializzato di articoli di seconda
47.91.20,Attività di servizi di intermediazione per il commercio al dettaglio non specializzato di prodotti nuovi
47.92.10,Attività di servizi di intermediazione per il commercio al dettaglio specializzato di prodotti alimentari e
47.92.21,Attività di servizi di intermediazione per il commercio al dettaglio specializzato di autoveicoli e motocicli di
47.92.22,Attività di servizi di intermediazione per il commercio al dettaglio specializzato di parti e accessori di
47.92.29,Attività di servizi di intermediazione per il commercio al dettaglio specializzato di altri articoli di seconda
47.92.31,"Attività di servizi di intermediazione per il commercio al dettaglio specializzato di autoveicoli, esclusi articoli"
47.92.32,Attività di servizi di intermediazione per il commercio al dettaglio specializzato di parti e accessori di
47.92.33,"Attività di servizi di intermediazione per il commercio al dettaglio specializzato di motocicli, parti e accessori"
47.92.34,Attività di servizi di intermediazione per il commercio al dettaglio specializzato di elettrodomestici e altri
47.92.35,"Attività di servizi di intermediazione per il commercio al dettaglio specializzato di prodotti tessili, articoli di"
47.92.36,Attività di servizi di intermediazione per il commercio al dettaglio specializzato di cosmetici e di articoli di
47.92.39,Attività di servizi di intermediazione per il commercio al dettaglio specializzato di prodotti nuovi n.c.a.
49.11.00,Trasporto di passeggeri su ferrovia pesante
49.12.00,Altri trasporti ferroviari di passeggeri
49.20.00,Trasporto ferroviario di merci
49.31.01,Trasporto di linea di passeggeri su strada specializzato per visite turistiche
49.31.02,Altri trasporti di linea di passeggeri su strada
49.32.01,Trasporto non di linea di passeggeri su strada specializzato per visite turistiche
49.32.02,Altri trasporti non di linea di passeggeri su strada
49.33.10,Trasporto su taxi
49.33.20,Trasporto su veicoli a noleggio con conducente
49.34.00,Trasporto di passeggeri mediante funivie e sciovie
49.39.00,Altri trasporti terrestri di passeggeri n.c.a.
49.41.00,Trasporto di merci su strada
49.42.00,Servizi di trasloco
49.50.10,Trasporto mediante condotte di gas
49.50.20,Trasporto mediante condotte di liquidi
50.10.00,Trasporto marittimo e costiero di passeggeri
50.20.00,Trasporto marittimo e costiero di merci
50.30.00,Trasporto per vie d'acqua interne di passeggeri
50.40.00,Trasporto per vie d'acqua interne di merci
51.10.10,Trasporto aereo di linea di passeggeri
51.10.20,Trasporto aereo non di linea di passeggeri
51.21.00,Trasporto aereo di merci
51.22.00,Trasporto spaziale
52.10.10,Magazzinaggio e deposito non refrigerato
52.10.20,Magazzinaggio e deposito refrigerato
52.21.10,Gestione di infrastrutture ferroviarie
52.21.20,Gestione e manutenzione di strade
52.21.30,Gestione di stazioni per autobus
